NOME,VALOR[R$],TIPO,AREA[M2],QUARTOS,BANHEIROS,VAGAS GARAGEM,CONDOMINIO[R$],IPTU[R$],LOGRADOURO,MUNICIPIO,BAIRRO,CEP,IMAGENS,CODIGO,DATA_ANUNCIO,LINK,GASTOS_ANO[R$],Academia,Ar condicionado,Armários na cozinha,Armários no quarto,Churrasqueira,Condomínio fechado,Elevador,Mobiliado,Permitido animais,Piscina,Portaria,Porteiro 24h,Quarto de serviço,Salão de festas,Segurança 24h,Varanda,Área de serviço,Portão eletrônico,Área murada,LATITUDE,LONGITUDE
FLORIANóPOLIS - Casa de Condomínio - Jurerê Internacional,67000.0,Casa em condominio fechado,1103,5 ou mais,5 ou mais,4,4300,1449,Avenida dos Búzios - de 1401/1402 ao fim,Florianópolis,Jurerê Internacional,88053301,20.0,1137824321,27/03 às 18:01,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-de-condominio-jurere-internacional-1137824321,53049,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,,
VENDO ótima oportunidade! De frente mar e Aluguel temporada! De frente para a praia de Can,280.0,Apartamento padrão,48,1,1,1,0,0,Rua Antenor Borges,Florianópolis,Canasvieiras,88054070,15.0,994937091,27/03 às 17:53,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-otima-oportunidade-de-frente-mar-e-aluguel-temporada-de-frente-para-a-praia-de-can-994937091,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-27.4264917,-48.4504742
FLORIANóPOLIS - Apartamento Padrão - Jurerê,4500.0,Apartamento padrão,91,3,2,1,911,168,Rodovia Jornalista Maurício Sirotsky Sobrinho - de 2601/2602 ao fim,Florianópolis,Jurerê,88053701,20.0,1153977093,27/03 às 16:17,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-jurere-1153977093,11100,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,
Alugo apartamento de 1 dormitório ,700.0,Apartamento padrão,40,1,1,1,1,1,Rua 323,Criciúma,Bosque do Repouso,88815348,12.0,1164571736,27/03 às 16:18,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-apartamento-de-1-dormitorio-1164571736,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-28.7017437,-49.3688458
"Apto pertinho da Praia, em Canasvieiras.",1450.0,Apartamento padrão,40,1,1,1,400,50,Rua Afonso Cardoso da Veiga,Florianópolis,Canasvieiras,88054050,3.0,1164573581,27/03 às 16:21,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apto-pertinho-da-praia-em-canasvieiras-1164573581,4850,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,-27.4299092,-48.4549405
"Linda casa para aluguel anual com vista para a ilha do Campeche, excelente padrão geminada",5900.0,Casa em rua pública,240,4,2,3,0,0,Servidão Olandi,Florianópolis,Campeche,88063463,20.0,1144228065,27/03 às 16:23,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/linda-casa-para-aluguel-anual-com-vista-para-a-ilha-do-campeche-excelente-padrao-geminada-1144228065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.674298,-48.4881528
"Casa para Locação em São José, Forquilhas, 2 dormitórios, 1 banheiro, 1 vaga",1450.0,Casa em rua pública,63,2,1,1,80,80,Rua Jair Coan,São José,Forquilhas,88107594,20.0,1164578271,27/03 às 16:36,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-locacao-em-sao-jose-forquilhas-2-dormitorios-1-banheiro-1-vaga-1164578271,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.5770637,-48.6755451
KITNET 01 QUARTO NO BAIRRO SERRARIA/SÃO JOSÉ!,1000.0,Apartamento kitchenette,28,1,1,1,0,50,Avenida das Margaridas,São José,Serraria,88115770,20.0,1163751976,27/03 às 16:39,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/kitnet-01-quarto-no-bairro-serraria-sao-jose-1163751976,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.5414353,-48.6445128
Casa para aluguel tem 700 metros quadrados com 6 quartos..,15000.0,Casa em rua pública,700,5 ou mais,5 ou mais,4,0,0,Avenida dos Pampos,Florianópolis,Jurerê Internacional,88053330,20.0,991765421,27/03 às 16:46,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-aluguel-tem-700-metros-quadrados-com-6-quartos-991765421,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-27.4366769,-48.5097784
FLORIANóPOLIS - Casa Padrão - Jurerê Internacional,38000.0,Casa em rua pública,530,5 ou mais,5 ou mais,5 ou mais,0,550,Rua dos Pirajus,Florianópolis,Jurerê Internacional,88053426,20.0,1146899573,27/03 às 09:18,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-jurere-internacional-1146899573,550,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-27.4456451,-48.5002918
