NOME,VALOR[R$],TIPO,AREA[M2],QUARTOS,BANHEIROS,VAGAS GARAGEM,CONDOMINIO[R$],IPTU[R$],LOGRADOURO,MUNICIPIO,BAIRRO,CEP,IMAGENS,CODIGO,DATA_ANUNCIO,LINK,GASTOS_ANO[R$],Academia,Ar condicionado,Armários na cozinha,Armários no quarto,Churrasqueira,Condomínio fechado,Elevador,Mobiliado,Permitido animais,Piscina,Portaria,Porteiro 24h,Portão eletrônico,Quarto de serviço,Salão de festas,Segurança 24h,Varanda,Área de serviço,Área murada,LATITUDE,LONGITUDE
Casa de condomínio sobrado para venda tem 285 metros quadrados com 3 quartos,1650000,Casa em condominio fechado,285,3,4,3,0,0,Rodovia Armando Calil Bulos,Florianópolis,Ingleses do Rio Vermelho,88058971,,1164551358,27/03 às 15:37,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-de-condominio-sobrado-para-venda-tem-285-metros-quadrados-com-3-quartos-1164551358,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,-27.4404083,-48.4172091
Casa mobiliada no Pagani Porteira fechada,900000,Casa em rua pública,265,3,3,2,0,1200,Rua Tomáz Domingos da Silveira - de 2283/2284 a 2832/2833,Palhoça,Pagani,88132238,,1164549354,27/03 às 15:31,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-mobiliada-no-pagani-porteira-fechada-1164549354,1200,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
"Casa com 300m2, terreno de esquina no Condominio Garden Ville",1999000,Casa em condominio fechado,300,3,2,2,483,650,Rua Octávio Fontana,Criciúma,São Simão,88811460,,1164549404,27/03 às 15:31,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-300m2-terreno-de-esquina-no-condominio-garden-ville-1164549404,6446,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,-28.653091,-49.3471721
Cobertura 5 quartos e 2 vagas em Florianópolis,990000,Apartamento padrão,135,5 ou mais,4,2,1873,2613,Rua Fernando Ferreira de Mello,Florianópolis,Bom Abrigo,88085260,,1152486430,27/03 às 15:32,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-5-quartos-e-2-vagas-em-florianopolis-1152486430,25089,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6104738,-48.5966486
Apartamento para venda com 66 metros quadrados com 2 quartos em Areias - São José - SC,419000,Apartamento padrão,66,2,2,1,0,0,Rua Fagundes Varela,São José,Areias,88113800,,1148055172,27/03 às 15:32,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-com-66-metros-quadrados-com-2-quartos-em-areias-sao-jose-sc-1148055172,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,-27.555866,-48.6332459
Apartamento - Padrão - Venda - Córrego Grande - Florianópolis - SC,720000,Apartamento padrão,65,2,2,1,500,100,Rua João Pio Duarte Silva - até 1179/1180,Florianópolis,Córrego Grande,88037000,,1144254525,27/03 às 15:32,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-padrao-venda-corrego-grande-florianopolis-sc-1144254525,6100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,,
"@ Apartamentos com 2 dormitórios, sendo 1 suíte, com 2 vagas na praia dos Ingleses",379000,Apartamento padrão,65,2,2,1,0,0,Rodovia Armando Calil Bulos,Florianópolis,Ingleses do Rio Vermelho,88058971,,1164549938,27/03 às 15:33,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamentos-com-2-dormitorios-sendo-1-suite-com-2-vagas-na-praia-dos-ingleses-1164549938,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-27.4404083,-48.4172091
(WE)Apartamento com 02 dormitórios no Bairro Capoeiras em Florianópolis/SC.,385000,Apartamento padrão,83,2,2,1,510,1500,Rua Prefeito Dib Cherem - até 2924/2925,Florianópolis,Capoeiras,88090000,,1164550010,27/03 às 15:33,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/we-apartamento-com-02-dormitorios-no-bairro-capoeiras-em-florianopolis-sc-1164550010,7620,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,
Apartamento disponível a venda em condomínio de alto padrão completo no Córrego Grande. Sã,1081741,Apartamento padrão,96,3,3,2,1010,1859,Rua João Pio Duarte Silva - de 1181/1182 ao fim,Florianópolis,Córrego Grande,88037001,,1075000676,27/03 às 15:33,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-disponivel-a-venda-em-condominio-de-alto-padrao-completo-no-corrego-grande-sa-1075000676,13979,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,,
Apartamento 2 dormitórios na Trindade,377741,Apartamento padrão,64,2,1,1,270,493,Rua Europa,Florianópolis,Trindade,88036135,,1074999937,27/03 às 15:33,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-2-dormitorios-na-trindade-1074999937,3733,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,-27.5853801,-48.5263766
