,NOME,VALOR,AREA,CATEGORIA,TIPO,QUARTOS,BANHEIROS,VAGAS,DETALHES_IMOVEL,DETALHES_CONDO,PARCELA1,ENTRADA,CONDOMINIO,IPTU,IMAGENS,DATA_ANUNCIO,CIDADE,CEP,link
0,"Apartamento com 2 dormitórios sendo 1 suíte, com 2 vagas e sacada com churrasqueira. Itaco",799.000,70,Apartamentos,Venda - apartamento padrão,2,2,2,"Ar condicionado, Academia, Varanda, Churrasqueira, Piscina","Condomínio fechado, Elevador, Portaria, Permitido animais, Academia, Piscina, Salão de festas",6.764,159.800,700,100,21.0,24/01,Florianópolis,88034389,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-2-dormitorios-sendo-1-suite-com-2-vagas-e-sacada-com-churrasqueira-itaco-1123305514
1,"Casa com 3 Dormitórios, Sendo 1 Suíte",435.000,78,Casas,Venda - casa em rua pública,3,1,3,88132781,Palhoça,3.694,87.000,0,0,6.0,24/01,Rua Itacorubi,Bela Vista,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-3-dormitorios-sendo-1-suite-1137895184
2,FLORIANóPOLIS - Casa Padrão - Lagoa Da Conceição,990.000,151,Casas,Venda - casa em rua pública,3,3,2,"Área de serviço, Churrasqueira",Academia,8.375,198.000,0,0,18.0,24/01,Florianópolis,88062060,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-lagoa-da-conceicao-972496460
3,FLORIANóPOLIS - Casa Padrão - Cachoeira Do Bom Jesus,1.690.000,270,Casas,Venda - casa em rua pública,2,2,2,"Ar condicionado, Piscina, Área de serviço, Churrasqueira",Piscina,14.254,338.000,300,2.300,19.0,24/01,Florianópolis,88056368,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-cachoeira-do-bom-jesus-1085282720
4,FLORIANóPOLIS - Apartamento Padrão - Agronômica,1.595.000,113,Apartamentos,Venda - apartamento padrão,3,1,3,"Academia, Área de serviço, Piscina","Elevador, Academia, Piscina, Salão de festas",13.452,319.000,830,1.417,20.0,24/01,Florianópolis,88025260,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-agronomica-1035406808
5,"Apartamento 2 dormitórios sendo 1 suíte, com vaga de garagem privativa. Estreito, Florianó",780.000,78,Apartamentos,Venda - apartamento padrão,2,2,1,"Ar condicionado, Mobiliado, Academia, Churrasqueira, Piscina","Condomínio fechado, Elevador, Portaria, Permitido animais, Academia, Piscina, Salão de festas",6.604,156.000,582,100,21.0,24/01,Florianópolis,88095152,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-2-dormitorios-sendo-1-suite-com-vaga-de-garagem-privativa-estreito-floriano-1121245613
6,Florianópolis - Casa Padrão - Rio Vermelho,250.000,80,Casas,Venda - casa em rua pública,2,1,5 ou mais,88058001,Florianópolis,2.134,50.000,0,0,16.0,24/01,Rodovia Armando Calil Bulos,Ingleses do Rio Vermelho,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-rio-vermelho-1111327947
7,Apartamento em Balneário do Estreito  -  Florianópolis,335.000,67,Apartamentos,Venda - apartamento padrão,2,1,1,"Ar condicionado, Varanda, Área de serviço, Churrasqueira",88075220,2.850,67.000,180,345,8.0,24/01,Balneário,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-em-balneario-do-estreito--florianopolis-1091666143
8,Ingleses* Apartamento em club home com lazer completo,620.000,79,Apartamentos,Venda - apartamento padrão,2,2,2,"Academia, Varanda, Piscina","Elevador, Permitido animais, Academia, Piscina, Salão de festas",5.254,124.000,0,0,10.0,24/01,Florianópolis,88058001,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/ingleses-apartamento-em-club-home-com-lazer-completo-1137891260
9,Apartamento para venda NO DELTAVILLE 53M2 com 2 quartos TODO MOBILIADO,280.000,53,Apartamentos,Venda - apartamento padrão,2,1,1,"Ar condicionado, Mobiliado, Varanda, Churrasqueira","Condomínio fechado, Elevador, Portaria, Permitido animais, Salão de festas",2.387,56.000,300,0,15.0,24/01,Biguaçu,88164230,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-no-deltaville-53m2-com-2-quartos-todo-mobiliado-1076417179
10,APARTAMENTO - BARREIROS,570.000,82,Apartamentos,Venda - apartamento padrão,2,1,1,88117410,São José,4.832,114.000,358,0,9.0,24/01,Rua Mar Del Plata,Barreiros,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-barreiros-1076031705
11,FLORIANóPOLIS - Apartamento Padrão - Forquilhinha,273.000,70,Apartamentos,Venda - apartamento padrão,2,1,1,"Ar condicionado, Mobiliado, Churrasqueira",Salão de festas,2.328,54.600,0,0,19.0,24/01,São José,88106662,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-forquilhinha-1104080248
12,FLORIANóPOLIS - Apartamento Padrão - Itacorubi,1.360.000,109,Apartamentos,Venda - apartamento padrão,4,3,2,"Academia, Churrasqueira, Piscina","Academia, Piscina, Salão de festas",11.495,272.000,0,0,20.0,24/01,Florianópolis,88034600,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-itacorubi-1071494525
13,Apartamento para venda possui 78 metros quadrados com 2 quartos em Rio Tavares - Florianóp,900.000,78,Apartamentos,Venda - apartamento padrão,2,2,"Academia, Churrasqueira, Piscina","Elevador, Academia, Piscina, Salão de festas",88048391,7.616,180.000,600,0,17.0,24/01,Rio Tavares,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-possui-78-metros-quadrados-com-2-quartos-em-rio-tavares-florianop-1020943614
14,Cobertura Allure Residence - 4 suítes,2.419.000,229,Apartamentos,Venda - apartamento cobertura,4,4,2,"Varanda, Churrasqueira, Piscina","Elevador, Piscina",20.402,483.800,0,0,20.0,24/01,Governador Celso Ramos,88190000,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-allure-residence-4-suites-968807141
15,"Apartamento com 2 dormitórios à venda, 65 m² por R$ 745.000,00 - Armação - Governador Cels",745.000,66,Apartamentos,Venda - apartamento padrão,2,1,1,"Varanda, Churrasqueira, Piscina","Elevador, Piscina",6.308,149.000,0,0,4.0,24/01,Governador Celso Ramos,88190000,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-65-m-por-r-745-000-00-armacao-governador-cels-951288175
16,FLORIANÓPOLIS - Casa Padrão - CACHOEIRA DO BOM JESUS,1.550.000,159,Casas,Venda - casa em rua pública,4,4,2,"Área de serviço, Churrasqueira",88056367,13.073,310.000,0,0,5.0,24/01,Cachoeira do Bom Jesus,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-cachoeira-do-bom-jesus-1028745189
17,FLORIANÓPOLIS - Apartamento Padrão - CANASVIEIRAS,570.000,65,Apartamentos,Venda - apartamento padrão,2,2,1,Armários na cozinha,Elevador,4.832,114.000,450,0,10.0,24/01,Florianópolis,88054430,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-canasvieiras-1008163109
18,"COBERTURA RESIDENCIAL em FLORIANÓPOLIS - SC, CARVOEIRA",1.800.000,212,Apartamentos,Venda - apartamento cobertura,3,3,2,"Ar condicionado, Academia, Churrasqueira, Piscina","Segurança 24h, Academia, Piscina",15.181,360.000,850,1.400,14.0,24/01,Florianópolis,88040670,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-residencial-em-florianopolis-sc-carvoeira-927451891
19,FLORIANóPOLIS - Padrão - Córrego Grande,850.000,68,Apartamentos,Venda - apartamento padrão,2,2,1,"Academia, Área de serviço","Elevador, Academia, Salão de festas",7.194,170.000,0,0,12.0,24/01,Florianópolis,88037000,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-padrao-corrego-grande-1096626969
20,Apartamento à venda no bairro Centro - Balneário Arroio do Silva/SC,200.000,53,Apartamentos,Venda - apartamento padrão,2,1,1,"Varanda, Churrasqueira","Permitido animais, Salão de festas",1.712,40.000,150,450,8.0,24/01,Balneário Arroio do Silva,88914000,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-no-bairro-centro-balneario-arroio-do-silva-sc-1112011566
