,LOCALIZACAO,LAT,LONG
0,"Florianópolis, Jurerê Internacional",-27.439234080455662,-48.50587389378153
1,"Florianópolis, Centro",-27.594341464848807,-48.54905306627587
2,"Florianópolis, Campeche",-27.68250672888763,-48.491571480349975
3,"Florianópolis, Ingleses do Rio Vermelho",-27.45205746972624,-48.40185915938683
4,"Florianópolis, Canasvieiras",-27.43121799674069,-48.45903614964577
5,"Florianópolis, Itacorubi",-27.585626480632392,-48.50253637502656
6,Garopaba,-28.02596444947896,-48.619900054518936
7,"Florianópolis, Trindade",-27.597077091727204,-48.52108277511468
8,"Florianópolis, Agronômica",-27.57472358364915,-48.53651794988022
9,"Florianópolis, Lagoa da Conceição",-27.602809538881775,-48.4702033798633
10,"Florianópolis, Rio Tavares",-27.64344041251915,-48.471875825963984
11,"São José, Barreiros",-27.575397106992813,-48.605734895232
12,"Florianópolis, Carvoeira",-27.60341484862681,-48.5277064020929
13,"Florianópolis, Cachoeira do Bom Jesus",-27.42298897809184,-48.43484907789379
14,"São José, Campinas",-27.596284892119737,-48.608662016908454
15,Imbituba,-28.23599147903236,-48.667591354375496
16,"Florianópolis, Córrego Grande",-27.600377029615903,-48.5059867678653
17,"Florianópolis, Jardim Atlântico",-27.577973533858728,-48.59681938412563
18,"Florianópolis, Abraão",-27.607183464153184,-48.59410248226493
19,"Florianópolis, Capoeiras",-27.596997084474406,-48.59047058186355
20,"Florianópolis, São João do Rio Vermelho",-27.493475642718547,-48.41734758084318
21,Laguna,-28.543762984072647,-48.78596241147134
22,"São José, Serraria",-27.53876829989971,-48.627044712042746
23,"Florianópolis, João Paulo",-27.559273927475424,-48.51355070043656
24,"São José, Forquilhas",-27.577635105857347,-48.670978427154175
25,"Florianópolis, Coqueiros",-27.606832520986032,-48.57793601709249
26,"Florianópolis, Pantanal",-27.608637306348463,-48.52116395988233
27,"São José, Kobrasol",-27.59715804837542,-48.61439396942981
28,"Palhoça, Pinheira",-27.866427610062207,-48.60611533380546
29,"Florianópolis, Ribeirão da Ilha",-27.713576314601372,-48.5608198505677
30,"Palhoça, Bela Vista",-27.656086833066535,-48.68820615267521
31,Balneário Arroio do Silva,-28.988160628715697,-49.41824078422886
32,"Florianópolis, Estreito",-27.59037897379542,-48.57726724594038
33,"Palhoça, Centro",-27.64781571203548,-48.66831519771254
34,"São José, Areias",-27.555894799088083,-48.63472071503381
35,Governador Celso Ramos,-27.315513936710612,-48.55792470080851
36,"Palhoça, Aririú",-27.670476571033817,-48.684906933052496
37,"Florianópolis, Canto",-27.58572944979778,-48.589439625539384
