NOME,VALOR,AREA,CATEGORIA,QUARTOS,BANHEIROS,VAGAS,CONDOMINIO,IPTU,IMAGENS,DATA_ANUNCIO,PROFISSIONAL,LOCALIZACAO,link
Loft com 1 suíte a venda na Barra da Lagoa em Florianópolis,R$ 454.810,47 metros quadrados,Apartamento À venda,1 quarto,2 banheiros,1 vaga de garagem,IPTU R$ 1,Condomínio R$ 1,13,"Hoje, 14:14",Profissional,"Florianópolis, Barra da Lagoa",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/loft-com-1-suite-a-venda-na-barra-da-lagoa-em-florianopolis-970974531
Casa de Condomínio em Ponta das Canas a 150m da Praia,R$ 2.010.000,306 metros quadrados,Casa À venda,4 quartos,4 banheiros,2 vagas de garagem,IPTU R$ 3.980,Condomínio R$ 400,20,"Hoje, 14:14",Profissional,"Florianópolis, Cachoeira do Bom Jesus",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-de-condominio-em-ponta-das-canas-a-150m-da-praia-1107013824
"Casa para Venda em Florianópolis, Ingleses do Rio Vermelho, 3 dormitórios, 1 suíte, 3 banh",R$ 1.160.000,180 metros quadrados,Casa À venda,3 quartos,3 banheiros,2 vagas de garagem,IPTU R$ 1.800,Condomínio R$ 1,20,"Hoje, 14:14",Profissional,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-venda-em-florianopolis-ingleses-do-rio-vermelho-3-dormitorios-1-suite-3-banh-1057282194
"Apartamento com 2 dormitórios à venda, 69 m² por R$ 886.000,00 - Coqueiros - Florianópolis",R$ 886.000,70 metros quadrados,Apartamento À venda,2 quartos,2 banheiros,1 vaga de garagem,,,20,"Hoje, 14:14",Profissional,"Florianópolis, Coqueiros",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-69-m-por-r-886-000-00-coqueiros-florianopolis-1046274364
Apartamento à venda no bairro Itaguaçu - Florianópolis/SC,R$ 750.000,138 metros quadrados,Apartamento À venda,3 quartos,1 banheiro,1 vaga de garagem,,,17,"Hoje, 14:14",Profissional,"Florianópolis, Bom Abrigo",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-no-bairro-itaguacu-florianopolis-sc-1069361904
Ótimo apto 1 dormts c/garagem no Kobrasol .,R$ 250.000,55 metros quadrados,Apartamento À venda,1 quarto,1 banheiro,1 vaga de garagem,Condomínio R$ 375,,18,"Hoje, 14:14",Profissional,"São José, Campinas",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/otimo-apto-1-dormts-c-garagem-no-kobrasol-906719923
PRONTO PARA MORAR NA MELHOR LOCALIZAÇÃO DO ESTREITO !  - AP486,R$ 650.000,69 metros quadrados,Apartamento À venda,2 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 420,,15,"Hoje, 14:14",Profissional,"Florianópolis, Capoeiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/pronto-para-morar-na-melhor-localizacao-do-estreito-ap486-1019016524
".R@Casa com móveis planejados em todos os ambientes, Varanda gourmet com churrasqueira e f",R$ 1.800.000,270 metros quadrados,Casa À venda,2 quartos,3 banheiros,2 vagas de garagem,Condomínio R$ 300,,20,"Hoje, 14:14",Profissional,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/r-casa-com-moveis-planejados-em-todos-os-ambientes-varanda-gourmet-com-churrasqueira-e-f-1091346553
Apartamento novo 3 dormitórios e 2 vagas,R$ 595.000,84 metros quadrados,Apartamento À venda,3 quartos,2 banheiros,2 vagas de garagem,IPTU R$ 1.150,Condomínio R$ 450,13,"Hoje, 14:13",Profissional,"Florianópolis, Capoeiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-novo-3-dormitorios-e-2-vagas-1102589515
SãO JOSé - Apartamento Padrão - Kobrasol,R$ 690.000,81 metros quadrados,Apartamento À venda,2 quartos,2 banheiros,1 vaga de garagem,,,20,"Hoje, 14:13",Profissional,"São José, Kobrasol",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-kobrasol-960071726
