NOME,VALOR,AREA,CATEGORIA,QUARTOS,BANHEIROS,VAGAS,CONDOMINIO,IPTU,IMAGENS,DATA_ANUNCIO,PROFISSIONAL,LOCALIZACAO,link
Apartamento para aluguel com 100 metros quadrados com 3 quartos em Canasvieiras - Florianó,R$ 1.500,100 metros quadrados,Apartamento para alugar,3 quartos,2 banheiros,1 vaga de garagem,,,20,"Hoje, 17:30",Profissional,"Florianópolis, Canasvieiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-aluguel-com-100-metros-quadrados-com-3-quartos-em-canasvieiras-floriano-1079759688
Procuro Quarto Fem. p/ Dividir ,R$ 850,,,,,,,,,"Hoje, 17:26",,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/procuro-quarto-fem-p-dividir-1142922218
FLORIANóPOLIS - Apartamento Padrão - Carvoeira,R$ 3.000,62 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,,Condomínio R$ 667,20,"Hoje, 17:23",Profissional,"Florianópolis, Carvoeira",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-carvoeira-1129129310
Apartamento FLORIANOPOLIS SC,R$ 4.150,83 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,2 vagas de garagem,Condomínio R$ 672,IPTU R$ 242,20,"Hoje, 17:04",Profissional,"Florianópolis, Monte Verde",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-florianopolis-sc-1098771724
SãO JOSé - Apartamento Padrão - Campinas,R$ 1.300,67 metros quadrados,Apartamento para alugar,3 quartos,,1 banheiro,Condomínio R$ 557,IPTU R$ 49,9,"Hoje, 16:58",Profissional,"São José, Campinas",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-campinas-1136489150
Aluguel Carnaval ,R$ 450,40 metros quadrados,Apartamento para alugar,1 quarto,,1 banheiro,,,6,"Hoje, 16:46",,"Florianópolis, Monte Verde",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-carnaval-1142909187
"Campinas | Apartamento 2 quartos, sendo 2 suites",R$ 4.000,94 metros quadrados,Apartamento para alugar,2 quartos,3 banheiros,2 vagas de garagem,,Condomínio R$ 550,20,"Hoje, 16:44",Profissional,"São José, Campinas",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/campinas-apartamento-2-quartos-sendo-2-suites-1129688152
Aluguel por diária em Canasvieiras,R$ 400,42 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,,,16,"Hoje, 16:41",Profissional,"Florianópolis, Canasvieiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-por-diaria-em-canasvieiras-1093140861
FLORIANóPOLIS - Apartamento Padrão - Novo Campeche,R$ 4.800,40 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,Condomínio R$ 900,IPTU R$ 150,20,"Hoje, 16:40",Profissional,"Florianópolis, Campeche",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-novo-campeche-1107297154
Casa para alugar no bairro Jurerê Internacional - Florianópolis/SC,R$ 2.700,450 metros quadrados,Casa para alugar,4 quartos,3 banheiros,2 vagas de garagem,,,20,"Hoje, 16:40",Profissional,"Florianópolis, Jurerê Internacional",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-alugar-no-bairro-jurere-internacional-florianopolis-sc-1112309801
"Apartamento para Temporada em Imbituba, Vila Nova, 2 dormitórios, 1 banheiro, 1 vaga",R$ 400,55 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,,,19,"Hoje, 16:39",Profissional,Imbituba,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-temporada-em-imbituba-vila-nova-2-dormitorios-1-banheiro-1-vaga-1111517832
Apartamento para locação com 02 dormitórios,R$ 1.600,50 metros quadrados,Apartamento para alugar,2 quartos,,1 banheiro,Condomínio R$ 70,IPTU R$ 22,8,"Hoje, 16:34",Profissional,"Florianópolis, Jardim Atlântico",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-locacao-com-02-dormitorios-1101398710
PALHOçA - Apartamento Padrão - Rio Grande,R$ 1.150,70 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,,Condomínio R$ 350,19,"Hoje, 16:29",Profissional,"Palhoça, Rio Grande",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/palhoca-apartamento-padrao-rio-grande-1119526176
Casa 5 dormitórios aluguel de temporada em Jurerê Internacional,R$ 1.800,250 metros quadrados,Casa para alugar,5 ou mais quartos,5 ou mais banheiros,2 vagas de garagem,,,20,"Hoje, 16:26",Profissional,"Florianópolis, Jurerê Internacional",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-5-dormitorios-aluguel-de-temporada-em-jurere-internacional-1035615765
"Aluguel de Temporada e Venda! Casa espetacular com 04 suítes, na área central do bairro.",R$ 7.000,700 metros quadrados,Casa para alugar,4 quartos,5 ou mais banheiros,2 vagas de garagem,,,20,"Hoje, 16:25",Profissional,"Florianópolis, Jurerê Internacional",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-de-temporada-e-venda-casa-espetacular-com-04-suites-na-area-central-do-bairro-1057281670
Apartamento 1 quarto anual ,R$ 1.500,1 vaga de garagem,Apartamento para alugar,1 quarto,,1 banheiro,,,6,"Hoje, 16:24",,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-1-quarto-anual-1142902215
