NOME,VALOR,AREA,CATEGORIA,QUARTOS,BANHEIROS,VAGAS,CONDOMINIO,IPTU,IMAGENS,DATA_ANUNCIO,PROFISSIONAL,LOCALIZACAO,link
Apartamento Novo De 03 dormitórios 02 Vagas Em  Barreiros - São José - SC,R$ 520.000,93 metros quadrados,Apartamento À venda,3 quartos,2 banheiros,2 vagas de garagem,Condomínio R$ 350,IPTU R$ 800,20,"Hoje, 17:29",Profissional,"São José, Barreiros",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-novo-de-03-dormitorios-02-vagas-em-barreiros-sao-jose-sc-1121759547
"Apartamento com 3 dormitórios à venda, 76 m² por R$ 300.000,00 - Forquilhas - São José/SC",R$ 300.000,76 metros quadrados,Apartamento À venda,3 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 420,IPTU R$ 650,14,"Hoje, 17:29",Profissional,"São José, Forquilhas",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-76-m-por-r-300-000-00-forquilhas-sao-jose-sc-1138135664
Apartamento-Padrao-para-Aluguel-em-Centro-Imbituba-SC,R$ 420.000,68 metros quadrados,Apartamento À venda,2 quartos,1 banheiro,1 vaga de garagem,,Condomínio R$ 250,20,"Hoje, 17:29",Profissional,Imbituba,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-padrao-para-aluguel-em-centro-imbituba-sc-1076084906
Casa para venda possui 100 metros quadrados com 2 quartos em Lurdes  - Praia Grande - Sant,R$ 260.000,100 metros quadrados,Casa À venda,2 quartos,1 banheiro,1 vaga de garagem,,,1,"Hoje, 17:29",Profissional,Praia Grande,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-venda-possui-100-metros-quadrados-com-2-quartos-em-lurdes-praia-grande-sant-1055184149
"Apartamento de 157 m² privativos, com 3 dormitórios (1 suíte) e 2 vagas de garagem no bair",R$ 1.340.000,157 metros quadrados,Apartamento À venda,3 quartos,2 banheiros,2 vagas de garagem,Condomínio R$ 1.480,IPTU R$ 55,20,"Hoje, 17:27",Profissional,"Florianópolis, Agronômica",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-157-m-privativos-com-3-dormitorios-1-suite-e-2-vagas-de-garagem-no-bair-1051792363
"Casa à venda, 230 m² por R$ 600.000,00 - Nossa Senhora do Rosário - São José/SC",R$ 600.000,230 metros quadrados,Casa À venda,4 quartos,4 banheiros,2 vagas de garagem,,IPTU R$ 638,20,"Hoje, 17:27",Profissional,"São José, Nossa Senhora do Rosário",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-a-venda-230-m-por-r-600-000-00-nossa-senhora-do-rosario-sao-jose-sc-1107251806
"HOME CACUPÉ APARTAMENTOS DE 2 E 3 DORMITÓRIOS,APTOS DE 66 A 129 M²",R$ 1.183.325,96 metros quadrados,Apartamento À venda,2 quartos,1 banheiro,1 vaga de garagem,,,20,"Hoje, 17:27",Profissional,"Florianópolis, Cacupé",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/home-cacupe-apartamentos-de-2-e-3-dormitorios-aptos-de-66-a-129-m-1133094815
COBERTURA PERTO DO SHOPPING BEIRA MAR,R$ 1.800.000,222 metros quadrados,Apartamento À venda,3 quartos,1 banheiro,1 vaga de garagem,,,20,"Hoje, 17:27",Profissional,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-perto-do-shopping-beira-mar-1122312004
Apartamento de 3 dormitórios e 1 vaga de garagem à venda no bairro Carvoeira,R$ 500.000,90 metros quadrados,Apartamento À venda,3 quartos,1 banheiro,1 vaga de garagem,,Condomínio R$ 600,18,"Hoje, 17:27",Profissional,"Florianópolis, Carvoeira",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-3-dormitorios-e-1-vaga-de-garagem-a-venda-no-bairro-carvoeira-1051797622
"Casa com 4 dormitórios à venda, 169 m² por R$ 960.000,00 - Pantanal - Florianópolis/SC",R$ 960.000,169 metros quadrados,Casa À venda,4 quartos,3 banheiros,2 vagas de garagem,,,20,"Hoje, 17:27",Profissional,"Florianópolis, Pantanal",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-4-dormitorios-a-venda-169-m-por-r-960-000-00-pantanal-florianopolis-sc-1013216353
