NOME,VALOR,AREA,CATEGORIA,QUARTOS,BANHEIROS,VAGAS,CONDOMINIO,IPTU,IMAGENS,DATA_ANUNCIO,PROFISSIONAL,LOCALIZACAO,link
Apartamento de 1 quarto para alugar no bairro Estreito,R$ 1.350,30 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,Condomínio R$ 245,IPTU R$ 36,11,"Hoje, 16:21",Profissional,"Florianópolis, Estreito",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-1-quarto-para-alugar-no-bairro-estreito-1152838807
Alugo Kitnet em Barreiros SJ,R$ 850,1 banheiro,Apartamento para alugar,1 quarto,,,,IPTU R$ 236,11,"Hoje, 16:16",,"São José, Jardim Cidade de Florianópolis",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-kitnet-em-barreiros-sj-1152833475
Lindo apartamento para alugar Lagoa mobiliado,R$ 850,90 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 400,IPTU R$ 100,11,"Hoje, 16:12",,"Florianópolis, Lagoa da Conceição",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/lindo-apartamento-para-alugar-lagoa-mobiliado-1152832041
Apartamento NOVO com 2 suítes no Centro de Florianópolis feito com o alto padrão WKoerich,R$ 8.677,79 metros quadrados,Apartamento para alugar,2 quartos,3 banheiros,2 vagas de garagem,,,11,"Hoje, 16:11",Profissional,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-novo-com-2-suites-no-centro-de-florianopolis-feito-com-o-alto-padrao-wkoerich-1141498259
Apto mobiliado de 3 quartos na Pedra Branca - Direto,R$ 4.800,80 metros quadrados,Apartamento para alugar,3 quartos,2 banheiros,2 vagas de garagem,Condomínio R$ 550,IPTU R$ 130,11,"Hoje, 16:09",,"Palhoça, Pedra Branca",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apto-mobiliado-de-3-quartos-na-pedra-branca-direto-1152829339
Térrea para aluguel possui 130 metros quadrados com 3 quartos,R$ 2.500,130 metros quadrados,Casa para alugar,3 quartos,,1 banheiro,,,11,"Hoje, 16:06",Profissional,"Florianópolis, Armação do Pântano do Sul",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/terrea-para-aluguel-possui-130-metros-quadrados-com-3-quartos-1152829176
EXCELENTE CASA COMERCIAL NO BAIRRO BALNEÁRIO EM FLORIANÓPOLIS,R$ 11.500,1 banheiro,Casa para alugar,489 metros quadrados,,,,IPTU R$ 590,11,"Hoje, 16:05",Profissional,"Florianópolis, Balneário",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/excelente-casa-comercial-no-bairro-balneario-em-florianopolis-927069168
"Aluguel de Temporada! Casa de 04 dormitórios, em condomínio fechado.",R$ 2.000,300 metros quadrados,Casa para alugar,4 quartos,2 banheiros,3 vagas de garagem,,,11,"Hoje, 16:00",Profissional,"Florianópolis, Cachoeira do Bom Jesus",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-de-temporada-casa-de-04-dormitorios-em-condominio-fechado-1057635781
Aluguel de Temporada e Venda! Fantástica casa com 07 dormitórios no Amoraeville,R$ 7.000,1100 metros quadrados,Casa para alugar,5 ou mais quartos,5 ou mais banheiros,5 ou mais vagas de garagem,,,11,"Hoje, 16:00",Profissional,"Florianópolis, Jurerê Internacional",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-de-temporada-e-venda-fantastica-casa-com-07-dormitorios-no-amoraeville-926855672
Kitnet mobiliada locação anual em Jurere.,R$ 1.200,16 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,,,11,"Hoje, 15:57",,"Florianópolis, Jurerê",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/kitnet-mobiliada-locacao-anual-em-jurere-1152820833
Apartamento Alugo,R$ 3.200,80 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 700,IPTU R$ 200,11,"Hoje, 15:55",,"Florianópolis, Cachoeira do Bom Jesus",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-alugo-1150300172
Casa mobiliada com amplo terreno disponível para locação no bairro São João (Margem Direit,R$ 23.000,1000 metros quadrados,Casa para alugar,5 ou mais quartos,5 ou mais banheiros,3 vagas de garagem,,,11,"Hoje, 15:54",Profissional,"Tubarão, São João (Margem Direita)",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-mobiliada-com-amplo-terreno-disponivel-para-locacao-no-bairro-sao-joao-margem-direit-1096606581
"APARTAMENTO TEMPORADA CACHOEIRA DO BOM JESUS, FLORIANÓPOLIS",R$ 1.500,130 metros quadrados,Apartamento para alugar,4 quartos,5 ou mais banheiros,2 vagas de garagem,,,11,"Hoje, 15:47",Profissional,"Florianópolis, Cachoeira do Bom Jesus",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-temporada-cachoeira-do-bom-jesus-florianopolis-994845550
"CASA RESIDENCIAL em FLORIANÓPOLIS - SC, VARGEM GRANDE",R$ 2.500,80 metros quadrados,Casa para alugar,2 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 100,IPTU R$ 132,11,"Hoje, 15:46",Profissional,"Florianópolis, Vargem Grande",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-residencial-em-florianopolis-sc-vargem-grande-1135967105
Apartamento de 2 quartos para alugar no bairro Pedra branca,R$ 1.700,64 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 350,IPTU R$ 50,11,"Hoje, 15:45",Profissional,"Palhoça, Pedra Branca",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-2-quartos-para-alugar-no-bairro-pedra-branca-1152815923
Aluguel anual em Jurerê Internacional,R$ 10.000,100 metros quadrados,Apartamento para alugar,4 quartos,3 banheiros,2 vagas de garagem,Condomínio R$ 1.000,IPTU R$ 450,11,"Hoje, 15:44",Profissional,"Florianópolis, Jurerê",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-anual-em-jurere-internacional-1045986180
Sobrado mobiliado e decorada com 02 dormitórios Serraria. Condomínio familiar ,R$ 2.500,80 metros quadrados,Casa para alugar,2 quartos,2 banheiros,2 vagas de garagem,,,11,"Hoje, 15:44",,"São José, Serraria",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sobrado-mobiliado-e-decorada-com-02-dormitorios-serraria-condominio-familiar-1112869823
Alugo ,R$ 1.200,50 metros quadrados,Casa para alugar,1 quarto,2 banheiros,1 vaga de garagem,,,11,"Hoje, 15:43",,"Palhoça, Guarda do Cubatão",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-1152815020
"Apartamento com 2 dormitórios para alugar, 65 m² por R$ 2.800/mês - Campeche - Florianópol",R$ 2.800,65 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,,Condomínio R$ 150,11,"Hoje, 15:43",Profissional,"Florianópolis, Campeche",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-2-dormitorios-para-alugar-65-m-por-r-2-800-mes-campeche-florianopol-1144561473
"Apartamento com 3 dormitórios para alugar, 74 m² por R$ 3.027,09/mês - Capoeiras - Florian",R$ 2.500,74 metros quadrados,Apartamento para alugar,3 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 428,IPTU R$ 99,11,"Hoje, 15:35",Profissional,"Florianópolis, Capoeiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-dormitorios-para-alugar-74-m-por-r-3-027-09-mes-capoeiras-florian-1142145989
Linda kitnet na Trindade - Só mulheres,R$ 1.145,20 metros quadrados,Apartamento para alugar,1 quarto,,1 banheiro,,Condomínio R$ 89,11,"Hoje, 15:32",Profissional,"Florianópolis, Trindade",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/linda-kitnet-na-trindade-so-mulheres-1152806623
Casa para aluguel e venda possui 1200 metros quadrados com 6 quartos..,R$ 70.000,1200 metros quadrados,Casa para alugar,5 ou mais quartos,5 ou mais banheiros,4 vagas de garagem,,IPTU R$ 7.000,11,"Hoje, 15:31",Profissional,"Florianópolis, Jurerê Internacional",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-aluguel-e-venda-possui-1200-metros-quadrados-com-6-quartos-991762988
Casa Alvenaria para Aluguel em Monte Castelo Tubarão-SC,R$ 1.750,100 metros quadrados,Casa para alugar,3 quartos,2 banheiros,2 vagas de garagem,,,11,"Hoje, 15:23",Profissional,"Tubarão, Monte Castelo",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-alvenaria-para-aluguel-em-monte-castelo-tubarao-sc-1130404714
"Lindo Ap Duplex 02 quartos com Garagem, wc+lavabo",R$ 2.300,85 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,1 vaga de garagem,,,11,"Hoje, 15:22",,"Florianópolis, Carianos",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/lindo-ap-duplex-02-quartos-com-garagem-wc-lavabo-1152802281
SãO JOSé - Apartamento Padrão - Barreiros,R$ 2.200,52 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,Condomínio R$ 350,IPTU R$ 55,11,"Hoje, 15:20",Profissional,"São José, Barreiros",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-barreiros-1144374720
SãO JOSé - Apartamento Padrão - Areias,R$ 1.100,50 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 170,IPTU R$ 37,11,"Hoje, 15:20",Profissional,"São José, Real Parque",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-areias-1144173120
