NOME,VALOR,AREA,CATEGORIA,QUARTOS,BANHEIROS,VAGAS,CONDOMINIO,IPTU,IMAGENS,DATA_ANUNCIO,PROFISSIONAL,LOCALIZACAO,link
"Casa com 3 dormitórios à venda, 224 m² por R$ 2.400.000,00 - Campeche - Florianópolis/SC",R$ 2.400.000,225 metros quadrados,Casa À venda,3 quartos,3 banheiros,2 vagas de garagem,,IPTU R$ 1.300,20,"Hoje, 16:27",Profissional,"Florianópolis, Campeche",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-3-dormitorios-a-venda-224-m-por-r-2-400-000-00-campeche-florianopolis-sc-1140842057
"Cobertura à venda, 292 m² por R$ 2.500.000,00 - Agronômica - Florianópolis/SC",R$ 2.500.000,292 metros quadrados,Apartamento À venda,4 quartos,4 banheiros,2 vagas de garagem,Condomínio R$ 1.600,IPTU R$ 8.436,20,"Hoje, 16:27",Profissional,"Florianópolis, Agronômica",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-a-venda-292-m-por-r-2-500-000-00-agronomica-florianopolis-sc-1014342253
"Apartamento NOVO 02 Dormitórios, 100 metros da Praia em Canasvieiras - Florianópolis - SC",R$ 730.000,75 metros quadrados,Apartamento À venda,2 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 350,IPTU R$ 1.250,20,"Hoje, 16:27",Profissional,"Florianópolis, Canasvieiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-novo-02-dormitorios-100-metros-da-praia-em-canasvieiras-florianopolis-sc-1079280248
"Apartamento com 2 dormitórios à venda, 75 m² por R$ 695.000,00 - Ingleses - Florianópolis/",R$ 695.000,75 metros quadrados,Apartamento À venda,2 quartos,2 banheiros,1 vaga de garagem,,Condomínio R$ 400,20,"Hoje, 16:27",Profissional,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-75-m-por-r-695-000-00-ingleses-florianopolis-1134860807
Casa para venda em condomínio com 4 quartos em Campeche - Florianópolis - SC,R$ 3.000.000,268 metros quadrados,Casa À venda,4 quartos,3 banheiros,4 vagas de garagem,,IPTU R$ 2.330,20,"Hoje, 16:27",Profissional,"Florianópolis, Campeche",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-venda-em-condominio-com-4-quartos-em-campeche-florianopolis-sc-1136172370
Apartamento 03 quartos andar alto a venda no centro de Florianópolis.,R$ 1.200.000,122 metros quadrados,Apartamento À venda,3 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 1.500,IPTU R$ 264,20,"Hoje, 16:26",Profissional,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-03-quartos-andar-alto-a-venda-no-centro-de-florianopolis-1152841126
"Apartamento no Residencial Prime House com 2 dorm e 60m, Centro - Criciúma",R$ 402.210,60 metros quadrados,Apartamento À venda,2 quartos,2 banheiros,1 vaga de garagem,,,20,"Hoje, 16:26",Profissional,"Criciúma, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-no-residencial-prime-house-com-2-dorm-e-60m-centro-criciuma-1152841099
"Apartamento no Filipe com 3 dorm e 74m, Jardim Atlântico - Florianópolis",R$ 509.500,74 metros quadrados,Apartamento À venda,3 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 599,IPTU R$ 850,20,"Hoje, 16:26",Profissional,"Florianópolis, Jardim Atlântico",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-no-filipe-com-3-dorm-e-74m-jardim-atlantico-florianopolis-1152841101
"Apartamento à venda, 428 m² por R$ 7.800.000,00 - Beira Mar - Florianópolis/SC",R$ 7.800.000,428 metros quadrados,Apartamento À venda,4 quartos,5 ou mais banheiros,4 vagas de garagem,Condomínio R$ 4.400,IPTU R$ 9.800,20,"Hoje, 16:26",Profissional,"Florianópolis, Agronômica",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-428-m-por-r-7-800-000-00-beira-mar-florianopolis-sc-1064705837
Apartamento de 3 dormitórios - Bairro Michel - Criciúma,R$ 480.000,77 metros quadrados,Apartamento À venda,3 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 300,IPTU R$ 700,20,"Hoje, 16:25",Profissional,"Criciúma, Michel",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-3-dormitorios-bairro-michel-criciuma-987385620
